"","county","State","estimate_percent_distribution_family_income_by_number_of_earners_no_earners","margin_of_error_percent_distribution_moe_family_income_by_number_of_earners_no_earners","estimate_median_income_dollars_family_income_by_number_of_earners_no_earners","margin_of_error_median_income_dollars_moe_family_income_by_number_of_earners_no_earners","state_fips_code","county_fips_code"
"1","Autauga"," Alabama",17.4,1.5,"36968","4172",1,1
"2","Baldwin"," Alabama",20.6,1.1,"46546","4276",1,3
"3","Baldwin"," Alabama",20.6,1.1,"46546","4276",13,9
"4","Barbour"," Alabama",22.7,2.8,"22754","5071",1,5
"5","Barbour"," Alabama",22.7,2.8,"22754","5071",54,1
"6","Bibb"," Alabama",22.1,3.9,"30117","6356",1,7
"7","Bibb"," Alabama",22.1,3.9,"30117","6356",13,21
"8","Blount"," Alabama",23.4,2.1,"32476","2238",1,9
"9","Blount"," Alabama",23.4,2.1,"32476","2238",47,9
"10","Bullock"," Alabama",27.9,8.1,"8830","1561",1,11
"11","Butler"," Alabama",22.3,2.7,"32725","6956",1,13
"12","Butler"," Alabama",22.3,2.7,"32725","6956",19,23
"13","Butler"," Alabama",22.3,2.7,"32725","6956",20,15
"14","Butler"," Alabama",22.3,2.7,"32725","6956",21,31
"15","Butler"," Alabama",22.3,2.7,"32725","6956",29,23
"16","Butler"," Alabama",22.3,2.7,"32725","6956",31,23
"17","Butler"," Alabama",22.3,2.7,"32725","6956",39,17
"18","Butler"," Alabama",22.3,2.7,"32725","6956",42,19
"19","Calhoun"," Alabama",20.9,1.5,"31306","2244",1,15
"20","Calhoun"," Alabama",20.9,1.5,"31306","2244",5,13
"21","Calhoun"," Alabama",20.9,1.5,"31306","2244",12,13
"22","Calhoun"," Alabama",20.9,1.5,"31306","2244",13,37
"23","Calhoun"," Alabama",20.9,1.5,"31306","2244",17,13
"24","Calhoun"," Alabama",20.9,1.5,"31306","2244",19,25
"25","Calhoun"," Alabama",20.9,1.5,"31306","2244",26,25
"26","Calhoun"," Alabama",20.9,1.5,"31306","2244",28,13
"27","Calhoun"," Alabama",20.9,1.5,"31306","2244",45,17
"28","Calhoun"," Alabama",20.9,1.5,"31306","2244",48,57
"29","Calhoun"," Alabama",20.9,1.5,"31306","2244",54,13
"30","Chambers"," Alabama",23.3,3.2,"29006","3651",1,17
"31","Chambers"," Alabama",23.3,3.2,"29006","3651",48,71
"32","Cherokee"," Alabama",29.2,3.1,"33338","4794",1,19
"33","Cherokee"," Alabama",29.2,3.1,"33338","4794",13,57
"34","Cherokee"," Alabama",29.2,3.1,"33338","4794",19,35
"35","Cherokee"," Alabama",29.2,3.1,"33338","4794",20,21
"36","Cherokee"," Alabama",29.2,3.1,"33338","4794",37,39
"37","Cherokee"," Alabama",29.2,3.1,"33338","4794",40,21
"38","Cherokee"," Alabama",29.2,3.1,"33338","4794",45,21
"39","Cherokee"," Alabama",29.2,3.1,"33338","4794",48,73
"40","Chilton"," Alabama",18.4,2.3,"27324","8051",1,21
"41","Choctaw"," Alabama",35.3,4.6,"23921","1708",1,23
"42","Choctaw"," Alabama",35.3,4.6,"23921","1708",28,19
"43","Choctaw"," Alabama",35.3,4.6,"23921","1708",40,23
"44","Clarke"," Alabama",30,2.5,"24288","4681",1,25
"45","Clarke"," Alabama",30,2.5,"24288","4681",13,59
"46","Clarke"," Alabama",30,2.5,"24288","4681",19,39
"47","Clarke"," Alabama",30,2.5,"24288","4681",28,23
"48","Clarke"," Alabama",30,2.5,"24288","4681",51,43
"49","Clay"," Alabama",24.3,3.9,"33478","6139",1,27
"50","Clay"," Alabama",24.3,3.9,"33478","6139",5,21
"51","Clay"," Alabama",24.3,3.9,"33478","6139",12,19
"52","Clay"," Alabama",24.3,3.9,"33478","6139",13,61
"53","Clay"," Alabama",24.3,3.9,"33478","6139",17,25
"54","Clay"," Alabama",24.3,3.9,"33478","6139",18,21
"55","Clay"," Alabama",24.3,3.9,"33478","6139",19,41
"56","Clay"," Alabama",24.3,3.9,"33478","6139",20,27
"57","Clay"," Alabama",24.3,3.9,"33478","6139",21,51
"58","Clay"," Alabama",24.3,3.9,"33478","6139",27,27
"59","Clay"," Alabama",24.3,3.9,"33478","6139",28,25
"60","Clay"," Alabama",24.3,3.9,"33478","6139",29,47
"61","Clay"," Alabama",24.3,3.9,"33478","6139",31,35
"62","Clay"," Alabama",24.3,3.9,"33478","6139",37,43
"63","Clay"," Alabama",24.3,3.9,"33478","6139",46,27
"64","Clay"," Alabama",24.3,3.9,"33478","6139",47,27
"65","Clay"," Alabama",24.3,3.9,"33478","6139",48,77
"66","Clay"," Alabama",24.3,3.9,"33478","6139",54,15
"67","Cleburne"," Alabama",21.7,2.9,"33219","2611",1,29
"68","Cleburne"," Alabama",21.7,2.9,"33219","2611",5,23
"69","Coffee"," Alabama",16.9,1.5,"37982","3472",1,31
"70","Coffee"," Alabama",16.9,1.5,"37982","3472",13,69
"71","Coffee"," Alabama",16.9,1.5,"37982","3472",47,31
"72","Colbert"," Alabama",23.9,1.7,"31745","5133",1,33
"73","Conecuh"," Alabama",27.8,5.6,"26875","7034",1,35
"74","Coosa"," Alabama",30.8,5.2,"35063","4652",1,37
"75","Covington"," Alabama",23.4,2.1,"30821","3160",1,39
"76","Covington"," Alabama",23.4,2.1,"30821","3160",28,31
"77","Covington"," Alabama",23.4,2.1,"30821","3160",51,580
"78","Crenshaw"," Alabama",20.4,2.6,"26128","3448",1,41
"79","Cullman"," Alabama",22.7,1.9,"30184","2053",1,43
"80","Dale"," Alabama",19.6,1.9,"36799","5744",1,45
"81","Dallas"," Alabama",23.9,2.5,"18172","1477",1,47
"82","Dallas"," Alabama",23.9,2.5,"18172","1477",5,39
"83","Dallas"," Alabama",23.9,2.5,"18172","1477",19,49
"84","Dallas"," Alabama",23.9,2.5,"18172","1477",29,59
"85","Dallas"," Alabama",23.9,2.5,"18172","1477",48,113
"86","DeKalb"," Alabama",21.3,2,"25787","1867",1,49
"87","DeKalb"," Alabama",21.3,2,"25787","1867",13,89
"88","DeKalb"," Alabama",21.3,2,"25787","1867",17,37
"89","DeKalb"," Alabama",21.3,2,"25787","1867",18,33
"90","DeKalb"," Alabama",21.3,2,"25787","1867",29,63
"91","DeKalb"," Alabama",21.3,2,"25787","1867",47,41
"92","Elmore"," Alabama",18.2,1.8,"36817","5749",1,51
"93","Elmore"," Alabama",18.2,1.8,"36817","5749",16,39
"94","Escambia"," Alabama",27.9,2.9,"27461","4342",1,53
"95","Escambia"," Alabama",27.9,2.9,"27461","4342",12,33
"96","Etowah"," Alabama",21.9,1.6,"32328","2352",1,55
"97","Fayette"," Alabama",25.6,2.9,"29459","5024",1,57
"98","Fayette"," Alabama",25.6,2.9,"29459","5024",13,113
